15,2,0,3,1,2,2,2,0,0,2,5,4,0,5,5,4,1,0,1,2,6,11,0,2,1,1,2,2,0,7,1,3,12,4,0,0,0,0,0,1,4,2,1,5,4,0,7,2,1,0,3,7,1,3,10,0,1,1,1,0,7,0,2,2,1,8,1,0,6,1,1,3,4,2,5,1,6,2,2,1,1,2,1,5,6,1,3,7,0,0,3,3,2,3,2,3,2,3,6
2,8,5,4,3,2,0,1,2,0,4,3,2,2,4,2,3,3,2,2,3,9,3,0,5,1,3,1,2,0,4,6,2,3,3,3,4,1,0,1,1,5,3,1,2,1,3,1,4,6,2,1,7,0,6,6,1,1,1,2,0,6,7,3,2,1,2,3,1,2,4,2,1,1,4,3,3,5,1,3,3,0,3,2,1,6,1,6,3,2,2,1,2,2,0,4,4,4,4,4
177,10,1,33,5,13,6,5,0,0,24,69,22,3,55,31,27,11,1,7,7,51,110,0,23,20,15,5,19,0,64,14,20,119,25,4,3,1,0,0,9,48,37,0,48,35,3,37,23,10,0,16,59,8,15,124,0,3,18,7,0,53,4,15,21,12,84,5,0,56,2,2,15,21,27,40,11,86,35,11,0,2,10,3,26,70,2,34,97,6,0,17,8,8,31,9,34,34,31,78
25,92,11,39,14,25,20,17,5,2,27,29,47,7,49,31,31,16,3,10,20,74,47,3,45,6,17,14,24,0,39,42,29,45,40,12,36,6,0,1,9,43,15,9,40,30,16,40,19,29,0,24,68,13,38,52,3,18,15,19,0,59,33,27,24,3,46,25,2,31,11,12,20,20,37,35,25,47,18,25,12,10,21,6,33,69,5,41,43,10,0,20,36,24,18,25,23,31,35,38
203,7,0,26,1,9,0,3,0,1,24,70,32,0,60,28,21,9,1,5,1,51,121,0,22,23,16,3,13,0,66,7,11,140,20,1,4,1,0,0,1,55,39,0,47,30,8,35,19,16,0,10,53,2,10,146,0,0,25,4,0,39,4,15,21,7,96,3,0,65,0,1,5,12,41,36,11,104,30,10,0,0,5,1,18,77,0,37,108,4,0,14,7,7,12,8,32,34,40,96
21,92,3,65,11,30,19,6,2,1,30,40,45,8,51,28,28,10,1,9,6,86,58,0,37,7,24,15,17,0,50,47,21,46,43,9,31,2,0,1,11,42,24,1,42,28,12,48,16,26,0,24,64,11,45,48,0,11,26,21,0,58,25,13,26,11,46,24,1,46,13,10,15,17,37,39,29,42,18,30,4,8,15,8,33,72,0,41,62,7,0,10,18,21,26,26,31,32,45,41
199,6,0,32,1,11,1,0,0,0,15,103,25,0,57,22,21,3,0,4,0,51,140,0,12,28,9,4,6,0,74,4,11,146,12,2,1,0,0,0,1,56,32,0,46,29,7,50,18,11,0,9,52,1,15,156,0,0,15,2,0,46,2,9,22,7,108,0,0,56,0,0,7,16,28,29,10,118,31,11,0,0,6,0,15,64,0,35,129,1,0,5,4,5,21,8,34,27,44,102
27,97,2,65,7,32,14,4,2,0,31,41,53,6,47,23,33,14,0,2,3,83,61,0,44,10,18,6,25,0,71,30,20,47,46,4,27,4,0,1,3,33,32,3,40,31,18,42,22,26,0,15,77,4,54,41,0,13,21,25,0,67,25,28,24,8,39,16,1,42,5,4,16,19,42,45,19,43,24,33,1,2,10,0,26,87,1,60,55,8,0,17,13,21,21,24,28,46,30,50
218,3,0,19,1,9,0,0,0,0,8,102,35,2,65,17,16,1,0,4,0,57,159,0,12,8,4,1,9,0,67,1,3,164,12,1,1,1,0,0,0,59,31,0,54,24,2,48,16,16,0,2,36,0,8,186,0,0,14,4,0,42,2,2,16,1,113,1,0,73,0,0,3,6,26,43,10,124,31,7,0,0,3,0,12,53,0,22,158,2,0,5,3,4,13,4,35,28,29,129
21,79,4,90,6,31,15,3,1,0,24,39,59,4,58,29,26,7,0,4,2,91,52,0,49,21,10,2,23,0,65,26,21,40,64,5,26,2,0,1,1,46,36,0,42,37,4,34,31,19,0,21,89,2,41,37,0,6,40,14,0,56,20,19,28,6,52,10,0,59,2,3,11,19,48,40,26,39,40,22,0,0,7,1,28,114,0,54,43,3,0,6,12,16,20,19,37,54,42,44
